RUSSIAN,FINNISH
происходит,tapahtuu
жаль,se on sääli
туда,siellä
действительно,Todella
папа,isä
завтра,huomenna
оно,se
черт,heck
одна,yksi
перед,edestä
наш,meidän
уверен,varma
отсюда,Täältä
нужна,Tarve
самом,erittäin
тех,nuo
нужен,Tarve
свой,Kaivos
мою,Mo.
кого,kenelle
верно,oikea
работу,Työ
каждый,kukin
твоей,Sinun
будут,tulee olemaan
хватит,tarpeeksi
понял,ymmärsi
нее,TÄSSÄ
уж,Vain
имя,nimi
против,vastaan
кое-что,jotain
пор,huokos
чём,Miten
раньше,aikaisemmin
говорю,minä sanon
более,lisää
надеюсь,toivoa
итак,niin
при,at
ваша,sinun
вообще,yleisesti
пошли,mennyt
мать,äiti
нельзя,se on kielletty
наверное,voi olla
нами,meille
твои,sinun
могли,Voisi
дай,antaa
ради,lapsi
всю,kaikki
ребята,kaverit
ко,Ns
хотя,siitä huolimatta
понимаешь,ymmärtää
идти,mennä
этих,Nämä
откуда,missä
такая,Sellainen.
ясно,asia selvä
другой,toinen
извините,pahoillani
вижу,näen
видеть,nähdä
над,edellä
могут,voi olla
равно,vastaa
мисс,Kaivata
скоро,pian
будто,Kuten
зовут,nimi
виду,nähdä
наши,meidän
думала,ajatus
послушай,Kuunnella
между,välillä
своего,Hänen
вопрос,kysymys
этому,se
почти,melkein
года,vuoden
человека,mies
которая,että
подожди,odota
руки,kädet
нормально,hieno
такие,sellainen
возьми,Ottaa
минут,pöytäkirja
извини,Pahoillani
вещи,asiat
могла,Voisi
смотри,Katso
хоть,vaikka
работа,Työ
пару,Pari
сын,poika
ваше,sinun
дня,päivä
пора,On aika
неё,Nee
жить,elää
видишь,Nähdä
достаточно,tarpeeksi
господи,Jumala
быстро,nopeasti
твою,sinun
весь,kaikki
убить,Tappaa
ночь,yö-
говоришь,sanoa
собой,itse
скажу,Sanoa
готов,valmis
слышал,kuullut
какая,joka
посмотри,Katso
первый,ensimmäinen
самое,suurin osa
видела,Nähnyt
пусть,Anna olla
месте,paikka
нашли,Löydetty
сказали,Sanoi
плохо,huonosti
смогу,voin
ваши,sinun
отца,Isä
детей,Lapset
знаем,Tietää
рад,iloinen
прав,oikea
никаких,nic
имею,minulla on
миссис,Rouva.
иногда,joskus
смерти,kuolemasta
своих,Itse
пойду,Menen
брат,veli
вроде,Kuten
рядом,lähistöllä
мир,rauha
произошло,tapahtui
которую,joka
сделала,Valmistettu
говорила,paitsi
знала,tiesi
мое,minun
одного,yksi
таким,Täten
помощь,auta
такого,Sellainen
кем,kenen
насчет,noin
вчера,eilen
случае,kotelo
увидеть,nähdä
нашей,meidän
говорят,he sanovat
правильно,oikea
убил,tapettu
одно,yksi
пойти,Mennä
друга,ystävä
сама,itse
долго,pitkään aikaan
работать,työ
дверь,ovi
делает,Tekee
женщина,Nainen
важно,tärkeä
кроме,paitsi
будь,olla
собираюсь,menossa
вашей,sinä
нужны,Tarve
здорово,loistava
номер,huone
проблема,ongelma
проблемы,Ongelmat
денег,rahasta
чёрт,heck
хороший,hyvä
твоего,sinun
одну,yksi
дальше,kauemmas
вернуться,palata
давно,pitkään aikaan
последний,kestää
ночи,Yö
узнать,tietää
уверена,varma
машину,Kone
права,oikeudet
пять,viisi
моих,Minun
также,myös
тому,maatalous
вечером,illalla
дети,lapset
опять,uudelleen
вообще-то,Itse asiassa
серьезно,Vakavasti
работает,teokset
своим,Oma
сначала,ensiksi
две,kaksi
одной,yksi
моим,Minun
те,nuo
жена,vaimo
думаете,Vaikka
помнишь,muistaa
глаза,silmät
ними,Nimi
чувак,jätkä
ночью,yöllä
чувствую,tuntea
взять,ottaa
сразу,heti
утром,aamulla
часть,osa
придется,täytyy
стать,tulla
идея,idea
дорогая,kallis
прекрасно,ihana
слова,sanat
сделали,valmistettu
видели,Videli
наша,meidän
сердце,sydän
помню,minä muistan
парня,Kaveri
момент,hetki
утро,aamu
здравствуйте,Hei
стал,tuli
скорее,nopeampi
ох,vai niin
большой,iso
кто-нибудь,Kuka tahansa
часов,tunteja
год,vuosi
друзья,ystävät
сильно,voimakkaasti
говори,sanoa
смысле,järkeä
которой,joka
уйти,mennä
которого,kenelle
капитан,kapteeni
работы,Työ
любовь,rakkaus
дочь,tytär
новый,Uusi
боюсь,pelkää
имеет,Sillä on
стой,Kivi
дней,Päivät
той,Lelu
голову,pää
ах,vai niin
столько,niin monta
понятно,asia selvä
дать,antaa
девушка,nuori nainen
довольно,tarpeeksi
доме,Talo
вечер,ilta
оба,molemmat
пойдем,mennään
увидимся,nähdään
шанс,mahdollisuus
хорошая,Hyvä
прежде,Ennen
сделаю,Tehdä
какого,Jonkin verran
быстрее,nopeampi
понять,ymmärtää
рассказать,kertoa
вашего,Hänen hänen
бог,Jumala
интересно,mielenkiintoista
затем,sitten
умер,kuoli
обо,ob
никого,kukaan
парни,Kaverit.
самый,suurin osa
твое,sinun
вон,voitti
пришел,Tuli
чтоб,Jllek
поверить,uskoa
слово,sana
будете,tulee olemaan
нашел,löydetty
милая,söpö
странно,outo
какие,minkälainen
ой,vai niin
та,TA
однажды,kerran
сможешь,Sinä pystyt
получить,vastaanottaa
обычно,yleensä
ума,mieli
полагаю,minä uskon
алло,Hei
посмотреть,Katso
иначе,muuten
наших,meidän
тело,runko
хотели,Haluta
свое,ei ollut
пришли,Tuli
моё,minun
другие,muut
выглядит,Näyttää
подумал,ajatus
лицо,kasvot
приятно,kiva
мам,Äiti
говорите,sanoa
обратно,takaisin
нашего,MEIDÄN
телефон,puhelin
мире,maailman-
честь,kunnia
господин,Herra.
доброе,Ystävällinen
план,suunnitelma
другом,Ystävä
час,tunnin
джон,John
пути,Polku
делал,Herkkä
типа,Tyyppi
посмотрим,katsotaan
насколько,syrjään
пытался,yritti
правду,Totuus
решил,päättänyt
поздно,myöhään
нем,NEM.
работе,työ
любит,rakastaa
хотят,Haluta
кому,kenelle
сестра,sisko
какой-то,Jonkinlainen
места,Paikkoja
кого-то,Joku
скажешь,sanoa
следующий,Seuraava
других,Toiset
получил,otettu vastaan
кстати,muuten
говорили,paitsi
пришла,Tuli
безопасности,Turvallisuus
рада,tyytyväinen
когда-нибудь,jonain päivänä
город,kaupunki
внимание,Huomio
кофе,kahvi
которое,että
вся,kaikki
семья,perhe
конец,loppu
позже,myöhemmin
дал,antoi
думать,ajatella
спать,nukkua
вернулся,palautettu
остаться,pysyä
некоторые,jonkin verran
кровь,veri
оружие,ase
пришлось,minun täytyi
хуже,huonompi
дорогой,kallis
полиция,Poliisi
сможем,voi pystyä
понимаете,ymmärtää
четыре,neljä
которых,joka
ужасно,kauhea
ждать,odota
способ,tapa
делаю,Tehdä
готовы,valmis
совершенно,Huippu
смотреть,katsella
вернусь,Palata
большое,Loistava
единственный,ainoa
вперед,eteenpäin
часа,tunteja
где-то,jonnekin
муж,aviomies
идет,Mennyt
таких,sellainen
ребенка,lapsi
машина,auto
стороны,Osapuolet
смог,savusumu
сына,Poika
играть,pelata
сами,itsemme
верю,Usko
честно,rehellisesti
нашла,Löydetty
звучит,Kuulostaa
угодно,viisaus
как-то,Jotenkin
руку,Käsi
начала,alkaa
перевод,käännös
какое,joka
взял,otti
станет,tulee olemaan
пытаюсь,Yrittää
внутри,sisällä
знали,tiesi
новости,uutiset
добрый,ystävällinen
подождите,Odota
скажите,kertoa
ребенок,lapsi
вашу,Sinun
мальчик,poika
осталось,vasemmalle
делаете,Tehdä
году,vuosi
мере,mitata
поняла,ymmärsi
отношения,suhde
далеко,kaukana
вокруг,noin
хотим,Me haluamme
слышала,kuulin
двух,kaksi
приятель,kaveri
никому,Nick
мужчина,Mies
неделю,viikko
вернуть,palata
смерть,kuolema
сих,Sih
ту,että
сможет,pystyvät
the,Heidän
дайте,antaa
двое,kaksi
видите,Nähdä
долларов,dollari
крови,veri
решение,ratkaisu
путь,tapa
следует,seurata
неужели,Todella
около,noin
готова,Valmis
семьи,perheet
идем,Mennä
смотрите,Nähdä
круто,viileä
история,historia
вдруг,yhtäkkiä
спросить,kysyä
i,I.
твоих,Kaksi
второй,toinen
вина,syyllisyys
джек,Jack
женщины,naiset
нашу,Meidän
заткнись,turpa kiinni
минуту,minuutti
собираешься,Menossa
твоим,sinun
шоу,näytä
прощения,Anteeksianto
больно,tuskallisen
машины,autot
пап,Pop
трудно,kova
постоянно,jatkuvasti
поможет,auttaa
проблем,Ongelmat
например,esimerkiksi
дерьмо,paska
полиции,Poliisi
начать,alkaa
знают,Tietää
лучший,parhaat
добро,hyvä
спасти,pelastaa
рождения,Syntymä
оставить,jättää
чарли,Charlie
любишь,Rakkaus
конце,Loppu
забыл,unohdin
месяцев,kuukaudet
часто,usein
мило,söpö
комнате,Huone
нему,Hänelle
матери,Äiti
милый,söpö
полностью,täysin
школе,koulu
леди,nainen
серьёзно,Vakavasti
убили,tapettu
случай,tapahtuma
джо,Joe
убийство,murhata
послушайте,Kuunnella
посмотрите,Katso
пошел,mennyt
никакого,nic
сделаем,tee se
говоря,Puhuminen
неплохо,ei paha
использовать,käyttää
прошлой,Kestää
иду,minä menen
узнал,saada selville
прекрати,Lopettaa
чуть,hieman
держи,Pitää
невозможно,mahdoton
господа,Herra
слушайте,Kuunnella
наше,meidän
машине,Kone
сэм,SAM
свет,kevyt
образом,tapa
иметь,omistaa
другое,Muut
другого,Muut
шесть,kuusi
людям,Ihmiset
погоди,odota hetki
имени,nimi
детка,vauva
недели,viikko
меньше,pienempi
легко,helposti
крайней,äärimmäinen
девочка,tyttö
придётся,täytyy
мало,harvat
ненавижу,Vihata
you,Sinä.
последние,Kestää
насчёт,noin
выглядишь,etsivät
сообщение,viesti
думает,Ajattelee
друзей,Ystävät
обещаю,lupaan
агент,agentti
вместо,sijasta
последнее,viimeinen asia
самого,Itse
настолько,niin
ответ,vastaus
детектив,etsivä
понятия,Käsitteet
родители,vanhemmat
показать,näytä
поехали,mennä
стало,tuli
мэм,MAM.
своими,Tuhma
всей,kaikki
очевидно,ilmeisesti
помогите,auta
маленький,pieni
школу,koulu
пожаловать,Ole kiltti
твоё,sinun
либо,tai
забрать,ottaa
прошло,Läpäissyt
особенно,erityisesti
имеешь,omistaa
истории,tarinoita
эм,Em
вопросы,kysymykset
большая,Iso
минутку,Olla
пол,lattia
остановить,lopettaa
чему,mitä
свидания,päivämäärät
обязательно,välttämättä
городе,kaupunki
убийца,murhaaja
сделай,Tee se
a,A.
ваших,sinun
любви,Rakkaus
спокойной,rauhoittaa
б,B.
своё,Hunaja
мадам,rouva
идите,mennä
выйти,Kirjaudu ulos
делают,tehdä
немедленно,heti
делай,Tehdä
возможность,mahdollisuus
человеком,mies
бывает,se tapahtuu
ужин,illallinen
моем,Minun
купить,ostaa
позвонить,Soittaa puhelimella
наконец,lopuksi
стала,Mainittu
любой,minkä tahansa
клянусь,Klyano
смешно,hauska
абсолютно,ehdottomasti
всему,Kaikki
переводчики,Kääntäjät
забудь,unohtaa
секунду,Anna minulle hetki
выбор,valinta
тысяч,tuhat
потерял,kadonnut
майкл,Michael
волнуйся,huoli
ноги,jalat
таком,Sellainen.
настоящий,todellinen
означает,keino
встретиться,tavata
известно,Tunnettu
работаю,työ
замечательно,loistava
любом,Kuka tahansa
оставь,Jättää
связи,Tiedonsiirto
боль,kipu
выпить,juoda
представить,kuvitella
убийства,Murhat
малыш,vauva
умерла,Kuoli
воды,vesi
окей,Ok
речь,puhe
хорошие,hyvät
поводу,tilaisuus
перестань,lopettaa
увидел,oli nähnyt
повезло,Onnekas
президент,presidentti
мужик,Miehet
которым,joka
прошлом,Menneisyys
дам,Dame
десять,kymmenen
умереть,kuolla
поговорим,Puhua
отцом,Isä
искать,Hae
тихо,hiljainen
оставил,vasemmalle
пистолет,ase
начал,alkoi
сложно,kova
города,kaupungit
неделе,viikko
хотелось,halusin
принять,hyväksyä
историю,historia
босс,pomo
держать,Pitää
пойдём,mennään
подумала,ajatus
фильм,elokuva
слышишь,Kuulla
рано,aikaisin
удачи,onnea
еду,Ruoka
словно,Kuten
причина,syy
пришёл,Tuli
э,Ns
компании,Yritykset
спокойно,rauhallisesti
работал,on työskennellyt
подумать,ajatella
вести,uutiset
вещь,asia
брата,Veli
конца,Loppu
получится,Milloin tahansa
блин,pannukakku
право,oikea
ввиду,silmällä pitäen
бога,Jumala
по-моему,mieleeni
подарок,esittää
комнату,huone
мира,Mira
успокойся,ottaa rennosti
позволить,sallia
моему,Kaivos.
идёт,Löydetty
самая,Sami
рассказал,puhuttu
курсе,Kurssi
намного,kaukana
мистера,Mister
женщин,naiset
тяжело,kova
ух,Vau
предложение,tarjous
одним,yksi
